DESCRIPTION,CHALLENGE,TRIGGERED,PREDICTION,OTHERBayes,OTHERS,STATUS
"A bathroom mirror would be great with a touch display, because as you're getting ready for work, you can catch up on the morning news or get a jumpstart on reading and returning emails.",TCO,[''],"Bayes: 0.999010426437421, complexBayes 4.090624142431741e-15, linClass: 0 0, USE: 1 0.578057","BayesTCO: 0.9987347709254233, BayesMixed 1.1785459574892021e-07, BayesMixed w/o dups 7.424668257657314e-08, compl BayesTCO: 1.0, compl BayesMixed: 9.051827812482338e-21, compl BayesMixed w/o dups: 1.5756848102036932e-19","Lin Class: 0 0, USE mixed: 0 0.8403152",usable
"It would be useful for dog collars to have a touch display. If your dog ran away or got loose, all the owner's contact info could be easily accessed and the dog could be returned home easily.",TCO,[''],"Bayes: 0.9987589903289414, complexBayes 0.0006945406845719856, linClass: 0 0, USE: 0 0.67972285","BayesTCO: 0.9989352250247281, BayesMixed 1.3593692797642536e-11, BayesMixed w/o dups 2.7719200626633034e-11, compl BayesTCO: 0.9999999840509133, compl BayesMixed: 4.2608200967480226e-29, compl BayesMixed w/o dups: 1.3978520425395131e-27","Lin Class: 0 0, USE mixed: 0 0.92427593",usable
you can apply it on windows to set the opacity of the glass and regulate the light ,TCO,"['', 'Wordcount']","Bayes: 3.696075811480435e-06, complexBayes 1.1489937509786855e-11, linClass: 0 0, USE: 0 0.76092255","BayesTCO: 4.495247427076315e-06, BayesMixed 1.2813057833188373e-05, BayesMixed w/o dups 1.7966628813037068e-05, compl BayesTCO: 7.172828946078114e-12, compl BayesMixed: 9.742410180810153e-17, compl BayesMixed w/o dups: 4.3769691650516106e-16","Lin Class: 0 0, USE mixed: 0 0.8164712",usable
"Used on the seats on planes, buses, and other commecial vehicles to entertain passengers. ",TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.00014587929726845154, complexBayes 1.6845479412068337e-06, linClass: 0 0, USE: 1 0.5068993","BayesTCO: 0.0002999951222083202, BayesMixed 0.00010932470404111821, BayesMixed w/o dups 9.857769091521247e-05, compl BayesTCO: 1.5087450350016266e-06, compl BayesMixed: 2.8905200710196602e-06, compl BayesMixed w/o dups: 5.268283591056512e-06","Lin Class: 0 0, USE mixed: 0 0.8820349",usable
Touchscreen food machine that will personalize food options to create.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 1.0, complexBayes 0.9999999999939899, linClass: 0 0, USE: 0 0.7422444","BayesTCO: 1.0, BayesMixed 0.05643411238801237, BayesMixed w/o dups 0.09520997101844336, compl BayesTCO: 0.9999999999944295, compl BayesMixed: 0.03877808318238896, compl BayesMixed w/o dups: 0.055407757406979105","Lin Class: 0 0, USE mixed: 0 0.8225179",unusable
"The first is permanent sunblock. No one likes putting the stuff on, so there should be a one-time treatment that embeds the skin with a permanent level of S.P.F. 30, akin to having Lasik eye surgery once and then forgetting about it. Sunburn vanquished like smallpox. The other is the “brain map” — a technology that maps out every neural connection in your mind and then, effectively, stores your brain on your hard drive",TCO,"['', 'sentencestructure3']","Bayes: 1.0, complexBayes 1.0, linClass: 0 0, USE: 1 0.98009527","BayesTCO: 1.0, BayesMixed 3.381910991696827e-07, BayesMixed w/o dups 7.169175304288681e-07, compl BayesTCO: 1.0, compl BayesMixed: 4.3173041477975587e-13, compl BayesMixed w/o dups: 2.386705490925934e-13","Lin Class: 0 0, USE mixed: 0 0.576335",unusable
make your work desk have a spot right next to you that is a touch pad for your phone.,TCO,"['', 'Wordcount']","Bayes: 0.9999999958214396, complexBayes 0.9999970734595952, linClass: 0 0, USE: 1 0.63232416","BayesTCO: 0.9999999967754293, BayesMixed 0.001353188284020878, BayesMixed w/o dups 0.0013381461506056303, compl BayesTCO: 0.9999979863437031, compl BayesMixed: 2.0808812194409882e-06, compl BayesMixed w/o dups: 7.327092269877145e-06","Lin Class: 0 0, USE mixed: 0 0.741286",usable
Cpat the tops of a table and it could be used for different games. Like board games or pen and paper RPGs.,TCO,[''],"Bayes: 5.0903875936550433e-08, complexBayes 3.263391583747882e-10, linClass: 0 0, USE: 1 0.5253333","BayesTCO: 8.954641367817323e-08, BayesMixed 4.030981942516868e-09, BayesMixed w/o dups 7.775500692039225e-09, compl BayesTCO: 0.9999999999999974, compl BayesMixed: 7.728769873958209e-33, compl BayesMixed w/o dups: 7.711155206984182e-33","Lin Class: 0 0, USE mixed: 0 0.7604874",usable
"touch screen mirror to help you change the lights and see better
",TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 2.1181074753635005e-07, complexBayes 7.519668841081276e-07, linClass: 0 0, USE: 1 0.56756353","BayesTCO: 9.926557889915582e-08, BayesMixed 1.1495982895836303e-06, BayesMixed w/o dups 2.634292325436783e-06, compl BayesTCO: 7.0496962455028e-07, compl BayesMixed: 1.8302440509534396e-07, compl BayesMixed w/o dups: 3.3462502585098216e-07","Lin Class: 0 0, USE mixed: 0 0.8524276",usable
I feel like it would be very useful to have all of you car buttons to be coated on to the dashboard.,TCO,[''],"Bayes: 0.9999811631834284, complexBayes 0.9620603193251126, linClass: 0 0, USE: 1 0.74804366","BayesTCO: 0.9999843909537424, BayesMixed 2.4605206968007457e-06, BayesMixed w/o dups 1.242286275035386e-06, compl BayesTCO: 0.9999999999999877, compl BayesMixed: 2.4548544660652567e-18, compl BayesMixed w/o dups: 2.8462089198731474e-18","Lin Class: 0 0, USE mixed: 0 0.8291893",usable
