DESCRIPTION,TRIGGERED
"A bathroom mirror would be great with a touch display, because as you're getting ready for work, you can catch up on the morning news or get a jumpstart on reading and returning emails.","bayes 0.9999999999999947, "
"Your car is already able to call for help when an accident occurs, but within a few years, it’ll tip paramedics off to probable injuries too. E.M.T.’s would know the likelihood of internal bleeding or traumatic head injury, for example, before arriving on the scene, which would help them decide whether to move you to a Level 1 trauma center or a standard emergency room. Researchers at the University of Michigan International Center for Automotive Medicine have created the predictive models by cross-referencing the crash data provided by sensors on cars, like speed and location of impact, with 3-D scans of accident victims. Tamara Warren","bayes 1.0, "
"It would be useful for dog collars to have a touch display. If your dog ran away or got loose, all the owner's contact info could be easily accessed and the dog could be returned home easily.","bayes 0.9999507721141146, "
"A touch display would be useful on the door of a refrigerator. It could keep your grocery list, left over dates and expiration dates all in one spot. No more wasting food!","bayes 0.9999915759524896, "
you can apply it on windows to set the opacity of the glass and regulate the light ,"bayes 0.9984929843299634, "
Touchscreen printer that will allow for more personalized functions.,"bayes 0.99999063366017, "
"a floor touch screen where you spray on the floor and it tells you how many foot steps there has been in that room on that day along with the weather and the amount of cleaning needed for the day on that floor.
","bayes 0.9999999999999839, "
Touchscreen food machine that will personalize food options to create.,"bayes 0.9997752626170092, "
Turn the handle in the shower into a tablet for water settings based on your body temperature.,"bayes 0.9770440389577423, "
"The first is permanent sunblock. No one likes putting the stuff on, so there should be a one-time treatment that embeds the skin with a permanent level of S.P.F. 30, akin to having Lasik eye surgery once and then forgetting about it. Sunburn vanquished like smallpox. The other is the “brain map” — a technology that maps out every neural connection in your mind and then, effectively, stores your brain on your hard drive","bayes 1.0, "
"Cover the interior of autonomous vehicles with it as a secondary control system, in case the autonomous system fails.","bayes 0.999999920947523, "
make your work desk have a spot right next to you that is a touch pad for your phone.,"bayes 0.9982502416602836, "
"that coating could be used on human body like arm, hand etc","bayes 0.9999916917535989, "
Cpat the tops of a table and it could be used for different games. Like board games or pen and paper RPGs.,"bayes 0.9903970834851942, "
"So I'm thinking about creating a Desk with a touch display, where you can control different compartments of the desk with the touch screen. For example, if you wanted to open the bottom right drawer and have the desk give you all the documents in there, you can use the touch screen to have it put it in your hand.","bayes 0.9999999999926398, "
I feel like it would be very useful to have all of you car buttons to be coated on to the dashboard.,"bayes 0.9998177045058304, "
"To curb the amount of graffiti in cities, turn the facade of buildings into virtual art galleries.","bayes 0.9992216916059371, "
A lawn mower with the touch display sprayed on that shows how well the grass is being cut.,"bayes 0.9999999048863829, "
"I mean, you could put it everywhere! You could turn all surfaces into a touch computer. The world could be like the Minority Report!","bayes 0.999975932428005, "
I would most definitely make a special coating with different color background to use in kids rooms with a frame. The frames can come in different sizes,"bayes 0.999092173719502, "
desks could be used for education or to give displays in business.,"bayes 0.9999958458595427, "
"a hand screen where you spay it on your hand and it temporarily acts as a body information device where you see your body temperature along with heart rate and body mass index among other things related to your health
","bayes 1.0, "
"A glass desktop could serve as your computer interfaces so you wouldn't need a mouse or perhaps even a keyboard.
","bayes 0.9999999999177732, "
Make a refrigerator have a touch panel to control things in it.,"bayes 0.999770484278173, "
"Touch displays could be added to tables or other surfaces in which a person lounges about in order to make the use of electronic devices while in an otherwise impossible position, possible. ","bayes 0.999999999768702, "
"a device where you can spray in side a car dashboard. the dashboard then tells you the mph you are going and other car related information such as temperature
","bayes 0.9999999919848458, "
A kid's drawing board like on a wall so they can paint and play with it.,"bayes 0.999992095063343, "
Windows that turn into displays. ,"bayes 0.9932756964457252, "
