ID,CHALLENGE,CREATED,DESCRIPTION,HIT_ID,STATUS,WORKER_ID,LENGTH,SPAM
d97f94973a1442e1ab93c746b43d47d8,cscw19-1-imageAndDescription-label,2019-03-23 10:48:36.724,Use it on table in my office.,39O0SQZVJNELXR9DX9F1N9L3JXT7RX,unreviewed,A2MR1H3PV0EDDR,29,ham
41d831610b7c40d0b328b77fd62e3fd0,cscw19-1-imageAndDescription-label,2019-03-23 10:57:41.786,use it on sofa living the room.,39O0SQZVJNELXR9DX9F1N9L3JXT7RX,unreviewed,A2MR1H3PV0EDDR,31,ham
021f894ebee64537b689414c48502da0,cscw19-1-description-label,2019-03-19 12:01:23.182,touch wall to change temperature,3IJ95K7NDXJJBMSMX52EK2TMH19NGA,unreviewed,A1IBQ7MUUTWLS9,32,ham
37fc0b348a164d5d980afa18d046551c,cscw19-1-description-label,2019-03-23 09:43:24.294,Use it on furniture office room.,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AUPRMVUM25CSP,32,ham
e86fe739a1c54690b70b0bc482e22892,cscw19-1-description-label,2019-03-23 09:34:48.159,Use it on furniture using house door.,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AUPRMVUM25CSP,37,ham
16552a191e4e4e8cbbe86aee23e28fb8,cscw19-1-description-label,2019-03-23 09:31:09.398,Use it on furniture using book table. ,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AUPRMVUM25CSP,38,ham
37fa2da2da774341afcaa79d890a7455,cscw19-1-imageAndDescription-label,2019-03-23 11:02:20.49,use it on telephone table living room.,39O0SQZVJNELXR9DX9F1N9L3JXT7RX,unreviewed,A2MR1H3PV0EDDR,38,ham
8a3c5ae02f124e829f73f77637d11443,cscw19-1-description-label,2019-03-23 09:36:29.223,Use it on furniture using in the window,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AUPRMVUM25CSP,39,ham
1f4a936617044d7eaf9a70e9c3b22794,cscw19-1-description-label,2019-03-23 09:32:06.394,Use it on furniture using kitchen room.,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AUPRMVUM25CSP,39,ham
f4b6eb40a9054f6bb96cf0d0bd0c2d72,cscw19-1-description-label,2019-03-23 09:30:24.91,Use it on furniture using the living room,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AUPRMVUM25CSP,41,ham
ce3af3657a8a405197920c7d0a9b2fcd,cscw19-1-description-label,2019-03-23 09:33:10.41,Use it on furniture using office book table.,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AUPRMVUM25CSP,44,ham
20409a44223e4511b0a3599b71dc0127,cscw19-1-description-label,2019-03-23 09:42:16.873,Use it on furniture using college library table.,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AUPRMVUM25CSP,48,ham
9a68ba77a41843dd9fead06861b14025,cscw19-1-imageAndDescription-label,2019-03-23 10:59:01.347,Use it on coffee table and sofa table living room,39O0SQZVJNELXR9DX9F1N9L3JXT7RX,unreviewed,A2MR1H3PV0EDDR,49,ham
0baa6c29a8a6498782211e5100117977,cscw19-1-description-label,2019-03-23 09:39:59.201,Use it on furniture using dining table of kitchen.,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AUPRMVUM25CSP,50,ham
