ID,DESCRIPTION,STATUS,CREATED,WORKER_ID,TRIGGERED,PREDICTION
b5673983d9e641e784554f65d280e433,"Customizable clothing, anything from high fashion to Halloween costumes.",usable,2019-07-22 17:36:06.939,AUFUUD4WG9CVO,noSentence,Spam
6447193a6d064d7fb608f82fb68c2dc9,A portable dance dance revolution board.,usable,2019-07-22 17:40:18.812,AUFUUD4WG9CVO,noSentence,Spam
1e732e262916402ca4a091ac4b8c2c68,"
add images to clothes. ",usable,2019-07-22 19:11:29.641,A1DY3EW6Q0B5K5,noSentence,Spam
c596ab86e26a4c7faef997f2580fa38e,post information about businesses on this fabric,usable,2019-07-22 19:16:31.86,A1DY3EW6Q0B5K5,noSentence,Spam
2b0291df2b8a4b69b858eb1a07cd89f6,player info on sports uniforms during games,usable,2019-07-22 19:19:05.411,A1DY3EW6Q0B5K5,noSentence,Spam
4af36a961de74653905c23e7f76f3441,night vision upgrade.  use with or in addition to night vision for better visual fidelity in the dark,usable,2019-07-22 23:39:07.842,A35C0II2FFV18S,noSentence,Spam
f83b8f1eae6a4d14b674a8486ae5e357,"Install this device in the homes of the elderly. If the device picks up usually movement, it sends a text alert to a care taker (family, friend, doctor, etc...) to warn this that there may be a problem with the elderly person that needs to be immediately addressed.
",usable,2019-07-23 21:39:35.707,A14WLAP6TCEKO0,Charseq,Spam
10fe3bc64b4b4abfb6a1874c45c0c97b,"It could be used for Halloween masks. You could buy one and turn it into anything you want: werewolf, witch, vampire, Donald Trump...",usable,2019-07-24 12:27:08.751,A2WWYVKGZZXBOB,"Charseq, containsName",Spam
112d8fe2906245c481cba0df78756c8d,Track workers movements on the job.,usable,2019-07-24 18:47:56.294,A3IQ9V1JSB2RJO,noSentence,Spam
b40b0f9050204c61a7680db1af091763,Evaluate an athlete's performance.,usable,2019-07-24 18:48:51.087,A3IQ9V1JSB2RJO,noSentence,Spam
e8731739c40a494d93b473b54987c077,We could use this technology in grocery stores or furniture stores to be able to track consumer data and trends to position products that appeal to more audiences in high traffic areas of the store..,usable,2019-07-24 20:50:25.563,A3QL8ZAD9BKWUF,Charseq,Spam
b0adbab4f65c4d6da2b47fd4cc3526c7,"The technology could be left near a pool, jacuzzi or lake...any body of water and it could alert someone when a person or animal gets too close to the water.  If it's aimed at the body of water, possible alert someone when they fall in.",usable,2019-07-24 21:52:08.591,A198MSVO1VTAT5,Charseq,Spam
73a3cd1c2db04dd3b27d7fe06137056e,"It could be a person's calendar. It could spread out to be large but hidden away in a desk drawer when not in use. Usually, you have a calendar as a desk blotter...this could be stuck away.",usable,2019-07-24 22:01:03.091,A198MSVO1VTAT5,Charseq,Spam
