ID,DESCRIPTION,STATUS,CREATED,WORKER_ID,CHALLENGE,TRIGGERED
cc3321948e2341938aa8c5d5cfee2c47,can be used to make furniture that you can change on a whim,usable,2019-07-24 08:17:24.647,AQ9Y6WD8O72ZC,FABRIC_DISPLAY,"['Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']"
8ef25e41233045b38c045d9a1d082540,"connect the cloth with application, so elderly people can be monitored.",usable,,,FABRIC_DISPLAY,"['Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']"
524adff9cc6648369c72a67ecb05acae,wear it and change what is on the shirt and save money . ,usable,2019-07-28 17:23:02.456,A1GKD3NG1NNHRP,FABRIC_DISPLAY,"['Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']"
a448ea18d57743a58e37ecc37737d8b1,"
hats",unusable,2019-07-22 17:23:43.707,AVPW7AXI9AFSM,FABRIC_DISPLAY,"['Charcount', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj', 'without verb or adj unigram', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj', 'without verb or adj unigram']"
1e732e262916402ca4a091ac4b8c2c68,"
add images to clothes. ",usable,2019-07-22 19:11:29.641,A1DY3EW6Q0B5K5,FABRIC_DISPLAY,"['Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj']"
71c1deda2e514d7aa2680045cd9d7238,Place it on banners and flags to work as screens in a stadium. The flags on a field could change color based on what's happening at a sporting event.,usable,2019-07-29 20:38:24.959,AIK9IRPT4M848,FABRIC_DISPLAY,[]
f5326cf6d1114d14966212f89fac6c6d,"An app could be developed for users of these projectors in conjunction with their garments. This would allow them to provide GPS data to corporations that can bid on advertisement time on your shirt. Beer companies could gather people at a rock concert, Retailers could post information about their items when someone is at a wal-mart. The owner of the shirt can reject offers from companies that they dislike or are inappropriate for the venue.",usable,,,FABRIC_DISPLAY,[]
0ccf057a984c4dac9b1c491b1c071eb9,"A blanket that has soothing scenes like moving stars, slow waves, falling leaves, fireflies, etc, playing on them.",usable,2019-07-28 23:51:04.739,A31A4YKVSOYRVS,FABRIC_DISPLAY,"['Wordcount', 'Wordcount']"
74c46c67aa3c4a20841cf93665424c57,Depending on the resolution of the video it might make a good replacement for a television or monitor as its size would allow for very light large surfaces for video.,usable,2019-07-23 01:36:19.236,AC6Y70F8YSHJN,FABRIC_DISPLAY,[]
6ffcd2d6af0c4ad3894a5afb657573f7,You can use in childrens rooms on walls instead of having to repaint when they get older,usable,2019-07-24 15:13:49.203,AQP4PHYDXRBPI,FABRIC_DISPLAY,"['Wordcount', 'Wordcount']"
